id,event_id,pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
43,9525df7606d441a1ca9641ec46cbd6df,Andrew Heaney,4.5,113,-151,pinnacle,5/10/2025 10:00,5/10/2025,5.53,5.41,0.229,-0.3001
44,130859e0bd6d4006cc73717d5746798e,AJ Smith-Shawver,4.5,-153,114,pinnacle,5/10/2025 10:00,5/10/2025,5.7,6.63,0.2835,-0.3555
45,130859e0bd6d4006cc73717d5746798e,Carlos Rodon,6.5,123,-164,pinnacle,5/10/2025 10:00,5/10/2025,5.85,7.01,0.1662,-0.2359
46,10615a833426e3d637fe88ed1a7644b3,JP Sears,4.5,-149,112,pinnacle,5/10/2025 10:00,5/10/2025,5.77,5.08,0.0314,-0.1015
47,10615a833426e3d637fe88ed1a7644b3,Andre Pallante,3.5,-131,-101,pinnacle,5/10/2025 10:00,5/10/2025,4.95,3.06,-0.1664,0.0968
48,6e561a23a75243e095637c64fb36c13e,Trevor Williams,3.5,-160,120,pinnacle,5/10/2025 10:00,5/10/2025,4.99,3.3,-0.1609,0.0909
49,6e561a23a75243e095637c64fb36c13e,Taj Bradley,4.5,-115,-115,pinnacle,5/10/2025 10:00,5/10/2025,5.84,6.41,0.3276,-0.3973
50,475a31e8ebfe4b2f651f7dcf12434466,Tobias Myers,3.5,-104,-128,pinnacle,5/10/2025 10:00,5/10/2025,4.38,4.27,0.1602,-0.2314
51,475a31e8ebfe4b2f651f7dcf12434466,Ranger Suarez,4.5,-181,135,pinnacle,5/10/2025 10:00,5/10/2025,4.19,3.8,-0.2995,0.2299
52,717d82880be62b00795e4ea620317f2a,Tanner Bibee,5.5,129,-173,pinnacle,5/10/2025 10:00,5/10/2025,5.46,5.38,0.036,-0.1064
53,717d82880be62b00795e4ea620317f2a,Jacob deGrom,6.5,101,-133,pinnacle,5/10/2025 10:00,5/10/2025,5.4,8.52,0.3783,-0.4466
54,f19c5bbd53c2e40e125fbe9197de27f6,Jack Flaherty,5.5,-113,-117,pinnacle,5/10/2025 10:00,5/10/2025,5.31,5.82,0.042,-0.1117
55,0bb5f44faa59b64ba79e947d9cfba6c9,Garrett Crochet,6.5,111,-148,pinnacle,5/10/2025 10:00,5/10/2025,5.64,6.19,-0.0442,-0.0265
56,eb0d7fa31926ad30ef32ac164da9d0e5,Cole Ragans,7.5,-131,-101,pinnacle,5/10/2025 10:00,5/10/2025,5.5,6.32,-0.317,0.2474
57,7ee6927f997abc920452b4483e82402b,Edward Cabrera,5.5,104,-138,pinnacle,5/10/2025 10:00,5/10/2025,4.98,5.87,0.0935,-0.1636
58,7ee6927f997abc920452b4483e82402b,Shane Smith,5.5,141,-189,pinnacle,5/10/2025 10:00,5/10/2025,5.34,4.44,-0.1426,0.0737
59,551133b660140cf1295181b8797bc18c,Lance McCullers Jr.,5.5,-123,-107,pinnacle,5/10/2025 10:00,5/10/2025,4.37,4.41,-0.2849,0.2164
60,9b8baaa403234126788c6370f04ddf4d,Brady Singer,5.5,108,-144,pinnacle,5/10/2025 10:00,5/10/2025,5.55,4.78,-0.1404,0.0695
61,9b8baaa403234126788c6370f04ddf4d,Logan Webb,5.5,-161,120,pinnacle,5/10/2025 10:00,5/10/2025,6.07,5.25,-0.1737,0.1023
62,9b8baaa403234126788c6370f04ddf4d,Joe Ryan,6.5,-141,106,pinnacle,5/10/2025 10:00,5/10/2025,6.05,6.59,-0.0646,-0.0059
63,9b8baaa403234126788c6370f04ddf4d,Tylor Megill,5.5,-123,-108,pinnacle,5/10/2025 10:00,5/10/2025,5.62,5.9,0.0388,-0.1096
64,9b8baaa403234126788c6370f04ddf4d,Dustin May,4.5,157,-212,pinnacle,5/10/2025 10:00,5/10/2025,5.56,5.35,0.2973,-0.3659
65,9b8baaa403234126788c6370f04ddf4d,Corbin Burnes,5.5,129,-172,pinnacle,5/10/2025 10:00,5/10/2025,6.01,5.43,0.0474,-0.1164
66,9b8baaa403234126788c6370f04ddf4d,Stephen Kolek,4.5,133,-178,pinnacle,5/10/2025 10:00,5/10/2025,4.63,4.74,0.4493,-0.518
67,9b8baaa403234126788c6370f04ddf4d,Bradley Blalock,2.5,122,-162,pinnacle,5/10/2025 10:00,5/10/2025,4.02,2.36,0.0177,-0.0864
68,9b8baaa403234126788c6370f04ddf4d,Jack Kochanowicz,3.5,111,-148,pinnacle,5/10/2025 10:00,5/10/2025,5.54,3.17,-0.0487,-0.022
69,9b8baaa403234126788c6370f04ddf4d,Kyle Gibson,4.5,-136,103,pinnacle,5/10/2025 10:00,5/10/2025,4.39,4.08,-0.1711,0.1022
70,9b8baaa403234126788c6370f04ddf4d,Logan Evans,3.5,104,-138,pinnacle,5/10/2025 10:00,5/10/2025,4.66,3.4,-0.013,-0.057
71,9b8baaa403234126788c6370f04ddf4d,Bowden Francis,4.5,104,-137,pinnacle,5/10/2025 10:00,5/10/2025,5.5,6.02,0.3173,-0.3855
